T1,T2,T3,T4,T5,oktan
0.292567,0.466098,0.044695,0.017254,0.311237,85.3
0.316834,0.516133,0.05674,0.020912,0.342958,85.25
0.276645,0.504049,0.055821,0.02247,0.35253,88.45
0.319126,0.497873,0.052995,0.022399,0.325323,83.4
0.251579,0.432696,0.04583,0.018535,0.320695,87.9
0.295713,0.478875,0.048868,0.019856,0.320822,85.5
0.251704,0.461131,0.04326,0.015925,0.320356,88.9
0.266892,0.488638,0.047809,0.017099,0.338981,88.3
0.255288,0.466663,0.044171,0.015943,0.324232,88.7
0.251484,0.456497,0.042038,0.015328,0.31696,88.45
0.244829,0.436298,0.037374,0.01355,0.301715,88.75
0.258614,0.460269,0.042031,0.016373,0.317342,88.25
0.275151,0.487403,0.046231,0.016821,0.335123,87.3
0.277278,0.498916,0.050184,0.017371,0.345126,88
0.280696,0.51845,0.056827,0.021183,0.362361,88.7
0.28832,0.467767,0.043593,0.016086,0.312963,85.5
0.257409,0.460536,0.041041,0.013891,0.318515,88.65
0.25499,0.462794,0.040491,0.012102,0.320246,88.75
0.290205,0.473722,0.042201,0.01244,0.31863,85.4
0.264008,0.481734,0.044505,0.013652,0.333261,88.6
0.271807,0.46213,0.038284,0.009589,0.312707,87
0.278492,0.477546,0.046383,0.016348,0.327068,87.15
0.274617,0.47194,0.041085,0.011238,0.321346,87.05
0.268285,0.469258,0.040509,0.011074,0.320948,87.25
0.273337,0.469238,0.040509,0.011105,0.319182,86.85
0.253791,0.46193,0.041182,0.012593,0.321447,88.65
0.274365,0.462871,0.039282,0.010955,0.314927,86.6
0.277375,0.460415,0.03869,0.010493,0.308544,86
0.27748,0.464471,0.039335,0.010521,0.313587,86.1
0.269892,0.45456,0.037512,0.009936,0.306686,86.5
0.273528,0.459598,0.038729,0.010401,0.310205,86.3
0.300363,0.4758,0.041877,0.011811,0.313223,84.4
0.296056,0.469455,0.038428,0.00898,0.30864,84.7
0.302044,0.477726,0.042513,0.012302,0.314274,84.6
0.30052,0.475919,0.042298,0.012786,0.313573,84.5
0.25595,0.458117,0.038035,0.012865,0.314601,88.1
0.288843,0.462222,0.039818,0.014104,0.306849,85.25
0.257297,0.46059,0.040642,0.014697,0.317898,88.4
0.265368,0.480011,0.044358,0.015159,0.332055,88.2
0.256092,0.463954,0.040546,0.014042,0.320216,88.4
0.237333,0.426723,0.033408,0.0101,0.295116,88.55
0.249092,0.444674,0.037854,0.012156,0.307774,88.35
0.260664,0.465265,0.043469,0.017138,0.321341,88.2
0.295518,0.475647,0.043421,0.016364,0.315941,85.3
0.246924,0.441688,0.035372,0.009325,0.306695,88.5
0.240237,0.440429,0.031207,0.004366,0.302152,88.25
0.244926,0.445975,0.034683,0.007453,0.306113,88
0.249544,0.456084,0.036965,0.006122,0.316204,88.85
0.244849,0.44203,0.032749,0.005739,0.303478,88.45
0.238034,0.43239,0.028705,0.002284,0.29517,88.7
0.261819,0.459895,0.035262,0.00675,0.311131,88.1
0.260978,0.443365,0.033397,0.0073,0.300253,87.6
0.252761,0.44714,0.032983,0.006078,0.303678,88.35
0.299598,0.479815,0.03561,0.008365,0.313376,85.1
0.291478,0.461396,0.036885,0.01073,0.303907,85.1
0.300797,0.468789,0.039981,0.013797,0.309013,84.7
0.267334,0.462054,0.031184,0.001676,0.308344,87.2
0.26804,0.449645,0.031688,0.003222,0.300011,86.6
0.239151,0.438329,0.027816,0.000887,0.299338,89.6
0.267444,0.457926,0.032763,0.004695,0.304594,87.1
