Obs,omsaet,vaerdi,sektor
1,9.08171,8.39344,detail
2,7.37838,6.75926,detail
3,7.71735,6.43455,detail
4,8.79710,7.38275,detail
5,9.74824,8.33759,detail
6,8.53307,8.14381,detail
7,8.21311,7.01392,detail
8,8.54150,7.00670,detail
9,7.93952,7.99193,detail
10,8.69249,7.83795,detail
11,8.48632,9.51937,energi
12,6.94505,7.01840,energi
13,6.55251,7.39817,energi
14,7.13409,8.63959,energi
15,8.30721,8.67163,energi
16,7.41035,8.15880,energi
17,6.11147,7.41095,energi
18,7.21082,7.42595,energi
19,5.87212,7.13648,energi
20,6.39192,7.46336,energi
21,7.38833,7.27240,energi
22,9.65733,9.55002,energi
23,6.61874,8.00970,energi
24,7.46107,8.03463,energi
25,7.88683,7.59840,energi
26,7.42595,6.99668,industri
27,7.32383,7.02820,industri
28,7.84932,7.49776,industri
29,8.47241,8.44720,industri
30,9.01177,8.74942,industri
31,8.10319,7.76896,industri
32,8.37701,8.31483,industri
33,8.65190,9.24455,industri
34,7.67276,6.62274,industri
35,9.61527,9.26179,industri
