"cost","logcost","DOTestimate","logDOTestimate","bid"
1379.4,7.229,1386.3,7.234,"fixed"
134,4.898,85.7,4.451,"fixed"
202.3,5.31,248.9,5.517,"competitive"
397.1,5.984,467.5,6.147,"competitive"
158.5,5.066,117.7,4.768,"fixed"
1128.1,7.028,1008.9,6.917,"fixed"
400.3,5.992,473,6.159,"fixed"
581.6,6.366,785.4,6.666,"competitive"
354,5.869,370,5.914,"competitive"
138.7,4.932,174.3,5.161,"competitive"
383.7,5.95,410.9,6.018,"fixed"
3910.9,8.272,3405.9,8.133,"fixed"
362.9,5.894,386,5.956,"competitive"
196.5,5.281,235.4,5.461,"competitive"
638,6.458,627.4,6.442,"competitive"
152.1,5.025,175.4,5.167,"fixed"
375,5.927,432.3,6.069,"competitive"
2284.6,7.734,1499,7.313,"fixed"
551.5,6.313,497.7,6.21,"fixed"
239.7,5.479,194.7,5.271,"fixed"
207.9,5.337,168,5.124,"fixed"
640.5,6.462,767.8,6.644,"competitive"
230.5,5.44,260.3,5.562,"fixed"
299.9,5.703,247,5.509,"fixed"
2368.8,7.77,2456.8,7.807,"competitive"
496.5,6.208,879.4,6.779,"competitive"
1564.9,7.356,1303.4,7.173,"fixed"
7387,8.907,6107.9,8.717,"competitive"
195.7,5.277,199.1,5.294,"competitive"
830.5,6.722,715.5,6.573,"fixed"
179.1,5.188,208.7,5.341,"competitive"
150.3,5.013,199.1,5.294,"competitive"
240.1,5.481,429.2,6.062,"competitive"
586.8,6.375,709.9,6.565,"competitive"
537.2,6.286,676.4,6.517,"competitive"
392.7,5.973,490.6,6.196,"competitive"
216.5,5.378,406.5,6.008,"competitive"
1559.4,7.352,1925.3,7.563,"competitive"
88.3,4.481,143.1,4.964,"competitive"
268.4,5.592,308.1,5.73,"competitive"
189,5.242,269.6,5.597,"competitive"
192.8,5.262,227.7,5.428,"competitive"
256.2,5.546,436.8,6.079,"competitive"
113.6,4.733,132.4,4.886,"competitive"
125,4.828,121.6,4.801,"competitive"
116.6,4.759,114.2,4.738,"competitive"
143.1,4.964,172.7,5.152,"competitive"
36.2,3.589,64.4,4.165,"competitive"
2518.4,7.831,3124.4,8.047,"competitive"
1353.5,7.21,1617.5,7.389,"competitive"
332.8,5.808,376.4,5.931,"competitive"
202.5,5.311,300.3,5.705,"competitive"
6043.3,8.707,7075,8.864,"competitive"
2280.8,7.732,2823.9,7.946,"competitive"
99.9,4.604,119,4.779,"fixed"
1461.6,7.287,1774.7,7.481,"competitive"
1217.6,7.105,1341.1,7.201,"competitive"
258.4,5.555,306.4,5.725,"competitive"
115.4,4.748,117.9,4.77,"competitive"
463.9,6.14,540,6.292,"competitive"
728.9,6.592,763,6.637,"competitive"
3929.9,8.276,3941.6,8.279,"competitive"
181.7,5.202,194.8,5.272,"competitive"
479.5,6.173,487.2,6.189,"competitive"
93.5,4.538,92.4,4.526,"competitive"
2301.1,7.741,2505.6,7.826,"competitive"
136.1,4.913,181.1,5.199,"competitive"
144.1,4.971,252.9,5.533,"competitive"
65.2,4.177,84.8,4.44,"competitive"
161.3,5.083,164,5.1,"competitive"
1138.5,7.037,1254.6,7.135,"competitive"
84.8,4.44,97.6,4.581,"competitive"
749.1,6.619,859.3,6.756,"competitive"
43.7,3.777,41.1,3.716,"competitive"
2920.7,7.98,2812.5,7.942,"competitive"
32.6,3.484,40,3.689,"competitive"
1115.1,7.017,1148.5,7.046,"competitive"
50.7,3.926,59.9,4.093,"competitive"
2229.3,7.709,2434.6,7.798,"competitive"
2159.8,7.678,2698.6,7.9,"competitive"
45.9,3.826,61.9,4.126,"competitive"
127.3,4.847,137.5,4.924,"competitive"
147.8,4.996,143.3,4.965,"fixed"
470.7,6.154,447.8,6.104,"competitive"
188.7,5.24,202.5,5.311,"competitive"
4765.2,8.469,5035.9,8.524,"competitive"
168.5,5.127,163.7,5.098,"competitive"
95.9,4.563,95.6,4.56,"competitive"
106.9,4.672,107.9,4.681,"competitive"
698.5,6.549,646.4,6.471,"competitive"
796,6.68,969.7,6.877,"competitive"
689.7,6.536,801.6,6.687,"competitive"
831.8,6.724,906.8,6.81,"competitive"
2150.2,7.673,2161.4,7.679,"competitive"
169.8,5.135,187.3,5.233,"competitive"
923.6,6.828,887.4,6.788,"competitive"
2527.5,7.835,2616.8,7.87,"competitive"
