Voter,Android,Chokolade,Hund,Madpakke,Matematik,Biler,Soeskende,Cykler,Computere,Kaerester,Fredagsbar,Biograf,Festival,Dans,Europa,Madlavning,Haandarbejde,Ingenting,Musik,Motion,Bytur,Svoemme,LappeCykel,Sprog,Primtal,HoldeVejret,hold,IQ
1,5,1,1,1,1,2,3,1,3,1,0,0,0,0,0,5,1,1,5,1,2,3,4,2,5,5,Groen,104
2,5,5,5,1,1,2,3,1,1,2,1,1,1,0,1,4,1,3,4,4,3,5,2,3,5,5,Gul,99
3,1,1,1,1,1,1,1,1,3,3,1,0,0,0,1,5,2,5,5,1,4,1,1,1,4,3,Gul,85
4,1,1,1,5,1,1,0,3,3,1,1,1,0,0,1,4,1,5,3,5,3,1,5,1,5,5,Groen,98
5,5,5,5,1,1,2,2,1,3,2,0,0,0,1,0,5,5,5,3,3,5,3,1,3,5,5,Gul,104
7,5,1,5,1,1,1,1,1,3,0,1,1,0,0,0,3,1,3,1,2,3,4,5,5,4,5,Gul,87
8,1,5,2,1,1,3,2,0,3,0,0,1,0,0,0,5,1,2,2,1,1,5,1,3,5,5,Gul,80
9,2,3,1,4,1,2,1,1,2,0,0,0,0,0,0,3,1,2,3,3,2,3,3,2,4,5,Gul,105
10,5,5,5,3,1,2,1,1,3,3,0,1,0,1,1,5,5,2,5,1,2,4,1,2,3,1,Gul,123
11,1,5,1,1,1,2,1,1,2,2,1,0,1,0,1,5,1,4,3,2,4,4,3,2,5,4,Groen,114
12,1,5,3,1,5,1,1,1,3,3,1,1,1,1,1,3,3,2,5,3,2,4,1,3,1,3,Groen,124
13,1,5,1,1,1,2,1,1,3,0,0,0,0,0,0,5,2,4,1,3,1,3,1,1,5,5,Groen,93
14,1,2,5,3,1,3,2,1,2,1,1,1,1,1,1,4,3,4,2,1,3,4,2,2,5,5,Groen,100
15,5,1,1,5,1,1,1,1,3,2,1,1,0,0,1,2,1,3,1,1,4,4,3,2,4,2,Groen,92
16,5,3,1,1,1,3,2,1,3,1,1,0,0,1,1,5,1,1,3,3,2,3,3,1,5,5,Groen,89
17,3,3,3,3,1,0,0,1,1,1,1,0,0,1,1,4,1,2,4,4,4,3,3,4,5,5,Groen,70
18,5,1,1,3,1,2,3,3,3,0,0,1,0,0,0,3,1,2,1,2,1,2,1,1,5,4,Gul,115
19,5,4,3,1,1,2,3,1,3,0,0,1,0,0,0,3,2,3,5,5,1,5,5,5,5,5,Gul,72
20,5,4,1,4,1,2,1,1,3,1,0,0,1,0,0,3,1,4,1,4,3,2,2,4,4,1,Groen,97
21,1,2,1,1,3,1,3,1,3,2,1,1,1,0,1,3,1,3,2,1,4,4,2,2,1,2,Groen,84
22,1,1,3,5,1,2,1,1,2,3,1,0,1,0,1,4,2,3,3,5,4,5,5,1,3,5,Groen,129
23,5,5,3,2,3,1,2,2,3,2,0,1,0,1,0,2,2,3,2,5,2,5,2,3,1,5,Groen,91
24,1,5,2,2,1,1,2,1,2,3,0,1,0,0,1,3,1,3,5,1,4,4,1,3,5,5,Gul,90
25,1,4,1,4,1,1,3,1,3,2,1,1,1,1,1,3,2,4,5,5,5,5,4,2,5,5,Gul,100
26,1,5,1,1,1,1,1,1,2,1,0,0,0,1,0,5,3,5,3,3,5,2,1,3,5,5,Groen,119
27,1,1,3,1,1,2,2,1,3,0,0,0,0,0,0,5,1,1,1,5,3,5,2,1,5,5,Gul,120
28,1,4,5,2,1,2,1,3,3,1,1,1,0,0,1,4,1,5,2,2,3,4,5,5,5,5,Groen,101
29,5,5,3,1,1,2,1,2,3,3,0,1,1,0,1,1,2,1,5,3,4,2,5,3,5,5,Groen,106
30,1,3,5,5,1,2,2,1,3,2,1,1,1,1,1,5,1,4,5,5,5,3,1,2,5,3,Gul,76
31,3,5,4,1,1,1,1,1,3,0,0,1,0,0,1,4,1,2,5,1,1,2,1,2,5,3,Groen,102
32,2,4,2,2,1,1,0,1,2,1,0,0,0,0,0,3,2,3,2,3,1,5,1,1,5,5,Groen,74
33,3,4,1,5,1,1,2,2,3,2,1,0,1,0,0,2,2,3,2,4,3,1,3,2,4,4,Groen,86
34,1,5,1,2,1,1,2,1,3,0,1,1,0,0,0,2,1,1,1,2,2,3,2,1,5,3,Gul,128
35,1,4,1,1,1,3,3,1,3,2,0,1,0,0,0,1,1,1,1,4,1,5,1,1,5,5,Gul,140
36,1,1,4,4,1,2,3,1,3,3,1,1,0,1,1,5,5,2,3,4,2,4,4,4,5,4,Gul,94
37,3,5,3,5,1,3,3,1,3,2,1,1,1,0,1,5,1,5,1,3,3,5,3,5,5,5,Gul,101
38,1,1,3,5,1,1,2,1,3,1,0,1,0,0,1,4,1,2,1,2,2,3,1,2,5,1,Gul,103
39,1,5,1,5,1,2,1,3,3,3,0,1,1,1,1,3,5,3,5,5,1,5,5,3,5,5,Groen,79
40,1,5,3,1,1,2,2,1,3,3,1,1,0,1,1,5,2,2,2,3,4,5,5,2,5,5,Gul,95
41,5,4,1,1,1,2,2,1,3,0,0,0,0,0,1,4,1,1,4,1,1,5,4,2,5,5,Groen,112
42,5,5,1,2,1,1,3,2,3,3,1,1,1,0,0,4,4,4,3,4,2,4,2,2,3,3,Gul,113
