Land,Behandling,Tid
DK,PF,108.23
DK,PF,129.17
DK,PF,69.83
DK,PF,119.33
DK,PF,31.93
DK,PF,204
DK,PF,126.83
DK,PF,132.33
DK,PF,147.92
DK,PF,79.95
DK,PF,75.58
DK,PF,190
DK,PF,60.82
DK,PF,74.28
DK,PF,180.5
DK,PF,165.83
DK,PF,74.1
DK,PF,75.1
DK,PF,175.5
DK,PF,181
IT,UF,53.72
IT,UF,38.8
IT,UF,71.1
IT,UF,41.4
IT,UF,45.9
IT,UF,60.12
IT,UF,102.68
IT,UF,107.1
IT,UF,190
IT,UF,73.67
IT,UF,31.65
IT,UF,42.43
IT,UF,34.27
IT,UF,39.57
IT,UF,164.2
IT,UF,105.97
IT,UF,41.67
IT,UF,36.85
IT,UF,36.4
IT,UF,43.67
IT,PF,72.52
IT,PF,40.7
IT,PF,37.98
IT,PF,115.98
IT,PF,71.72
IT,PF,70.25
IT,PF,51.3
IT,PF,166.5
IT,PF,190
IT,PF,38.17
IT,PF,190
IT,PF,49.17
IT,PF,80.58
IT,PF,51.95
IT,PF,85.97
IT,PF,44.25
IT,PF,61.65
IT,PF,112.83
IT,PF,43.95
IT,PF,93.72
DK,C,66.68
DK,C,36.1
DK,C,41.3
DK,C,28.43
DK,C,166.5
DK,C,98.77
DK,C,104.73
DK,C,29.37
DK,C,94.95
DK,C,44.6
DK,C,97.43
DK,C,81.45
DK,C,35.5
DK,C,122.83
DK,C,53.47
DK,C,97.92
DK,C,63.72
DK,C,41.02
DK,C,31.78
DK,C,37.37
DK,UF,181
DK,UF,103.4
DK,UF,166.85
DK,UF,129.17
DK,UF,42.62
DK,UF,63.78
DK,UF,80.9
DK,UF,74.9
DK,UF,52.3
DK,UF,48.95
DK,UF,50.68
DK,UF,82.75
DK,UF,53.15
DK,UF,67.38
DK,UF,46.68
DK,UF,68.38
DK,UF,43.87
DK,UF,104.2
DK,UF,56.12
DK,UF,49.22
IT,C,19.82
IT,C,49.53
IT,C,41.93
IT,C,73.35
IT,C,60.98
IT,C,29
IT,C,24.53
IT,C,68.42
IT,C,37.25
IT,C,40.18
IT,C,29.63
IT,C,32.28
IT,C,57.07
IT,C,44.08
IT,C,41.6
IT,C,44.75
IT,C,200
IT,C,45.6
IT,C,84.27
IT,C,134.08
