headlen,headwid,neck,length,chest,weight
11,5.5,16,53,26,80
16.5,9,28,67.5,45,344
15.5,8,31,72,54,416
17,10,31.5,72,49,348
15.5,6.5,22,62,35,166
13,7,21,70,41,220
15,7.5,26.5,73.5,41,262
13.5,8,27,68.5,49,360
13.5,7,20,64,38,204
12.5,6,18,58,31,144
16,9,29,73,44,332
9,4.5,13,37,19,34
12.5,4.5,10.5,63,32,140
14,5,21.5,67,37,180
11.5,5,17.5,52,29,105
13,8,21.5,59,33,166
13.5,7,24,64,39,204
9,4.5,12,36,19,26
13,6,19,59,30,120
16,9.5,30,72,48,436
12.5,5,19.02,57.5,32,125
13,5,20,61,33,132
13,5,17,54,28,90
10,4,13,40,23,40
16,6,24,63,42,220
10,4,13.5,43,23,46
13.5,6,22,66.5,34,154
13,5.5,17.5,60.5,31,116
13,6.5,21,60,34.5,182
14.5,5.5,20,61,34,150
9.5,4.5,16,40,26,65
13.5,6.5,28,64,48,356
14.5,6.5,26,65,48,316
11,5,17,49,29,94
11.5,5,17,47,29.5,86
13,7,21,59,35,150
16.5,6.5,27,72,44.5,270
14,5.5,24,65,39,202
13.5,6.5,21.5,63,40,202
15.5,7,28,70.5,50,365
11.5,6,16.5,48,31,79
12,6.5,19,50,38,148
15.5,7,28,76.5,55,446
9,5,15,46,27,62
14.5,7,23,61.5,44,236
13.5,8.5,23,63.5,44,212
10,4,15.5,48,26,60
10,5,15,41,26,64
11.5,5,17,53,30.5,114
11.5,5,15,52.5,28,76
11,4.5,13,46,23,48
10,4.5,10,43.5,24,29
15.5,8,30.5,75,54,514
12.5,8.5,18,57.3,32.8,140
