Aar,Transistorer
24,8000
21,2300
22,3500
25,3510
24,4100
24,4500
24,5000
26,6500
26,8500
28,9000
28,29000
29,29000
31,11500
32,55000
29,68000
32,134000
33,22000
34,190000
35,275000
35,25000
35,16000
36,30000
37,553000
38,180000
38,250000
39,1180235
39,3e+05
41,1350000
41,35000
43,3100000
44,578977
45,2500000
49,111000
45,5500000
46,4300000
47,7500000
48,7500000
47,8800000
49,9500000
50,2.1e+07
49,27400000
51,4.5e+07
49,21300000
49,2.2e+07
50,4.2e+07
52,5.5e+07
54,1.12e+08
55,1.69e+08
56,1.84e+08
55,2.28e+08
56,3.62e+08
58,4.7e+07
53,54300000
53,105900000
52,2.2e+08
56,2.41e+08
56,2.91e+08
57,1.69e+08
53,4.1e+08
57,4.63e+08
57,2.6e+07
58,2.3e+08
54,5.92e+08
57,4.11e+08
58,7.31e+08
58,7.58e+08
57,7.89e+08
59,9.04e+08
60,1e+09
63,1e+09
61,1.16e+09
60,1.17e+09
60,1.2e+09
62,1.2e+09
62,1.303e+09
60,1.4e+09
62,1.4e+09
64,1.4e+09
56,1.7e+09
65,1.75e+09
63,1.86e+09
65,1.9e+09
58,1.9e+09
60,2e+09
64,2e+09
62,2.1e+09
61,2.27e+09
60,2.3e+09
64,2.6e+09
61,2.6e+09
62,2.75e+09
64,3e+09
62,3.1e+09
66,3.3e+09
65,3.99e+09
63,4.2e+09
64,4.31e+09
62,5e+09
63,5e+09
64,5.56e+09
65,7.1e+09
66,7.2e+09
67,8e+09
66,8e+09
67,9.7e+09
65,1e+10
67,1.8e+10
67,1.92e+10
