Sted,Kornstoerrelse
SanLuis,2.064
SanLuis,2.528
SanLuis,1.96
SanLuis,2.046
SanLuis,2.147
SanLuis,1.947
SanLuis,2.09
SanLuis,2.024
SanLuis,2.114
SanLuis,1.963
SanLuis,2.061
SanLuis,1.88
SanLuis,1.972
SanLuis,2.125
PinaNorth,2.562
PinaNorth,2.498
PinaNorth,2.617
PinaNorth,2.651
PinaNorth,2.517
PinaNorth,2.464
PinaNorth,2.602
PinaNorth,2.677
PinaNorth,2.712
PinaNorth,2.547
PinaNorth,2.63
PinaNorth,2.543
PinaNorth,2.697
PinaNorth,2.759
PinaNorth,2.68
PinaNorth,2.59
PinaSouth,2.756
PinaSouth,2.796
PinaSouth,2.566
PinaSouth,2.648
PinaSouth,2.46
PinaSouth,2.443
PinaSouth,2.665
PinaSouth,2.348
