Eksperiment,Alder,SPD
Ex1,unge,3282
Ex1,unge,270
Ex1,unge,1483
Ex1,unge,2148
Ex1,unge,1816
Ex1,midaldrende,2098
Ex1,midaldrende,2376
Ex1,midaldrende,1297
Ex1,midaldrende,3354
Ex1,midaldrende,2082
Ex1,midaldrende,2911
Ex1,midaldrende,2300
Ex1,aeldre,3131
Ex1,aeldre,3412
Ex1,aeldre,1191
Ex1,aeldre,2977
Ex1,aeldre,3605
Ex1,aeldre,2050
Ex1,aeldre,3299
Ex1,aeldre,3685
Ex1,aeldre,4006
Ex1,aeldre,3555
Ex1,aeldre,2540
Ex1,aeldre,2223
Ex1,aeldre,1199
Ex2,unge,799
Ex2,unge,1351
Ex2,unge,2163
Ex2,unge,1215
Ex2,unge,1448
Ex2,unge,878
Ex2,midaldrende,1504
Ex2,midaldrende,1673
Ex2,midaldrende,1674
Ex2,midaldrende,1188
Ex2,midaldrende,1432
Ex2,midaldrende,958
Ex2,midaldrende,2429
Ex2,midaldrende,1360
Ex2,aeldre,2851
Ex2,aeldre,123
Ex2,aeldre,1569
Ex2,aeldre,2331
Ex2,aeldre,2650
Ex2,aeldre,3160
Ex2,aeldre,1997
Ex2,aeldre,1463
Ex2,aeldre,2285
Ex2,aeldre,1042
Ex2,aeldre,3034
Ex2,aeldre,2391
