Art,L1,L2,L3,Hoejde,Bredde,Vaegt
Brasen,23.2,25.4,30,11.5,4,242
Brasen,24,26.3,31.2,12.5,4.3,290
Brasen,23.9,26.5,31.1,12.4,4.7,340
Brasen,26.3,29,33.5,12.7,4.5,363
Brasen,26.5,29,34,12.4,5.1,430
Brasen,26.8,29.7,34.7,13.6,4.9,450
Brasen,26.8,29.7,34.5,14.2,5.3,500
Brasen,27.6,30,35,12.7,4.7,390
Brasen,27.6,30,35.1,14,4.8,450
Brasen,28.5,30.7,36.2,14.2,5,500
Brasen,28.4,31,36.2,14.3,5.1,475
Brasen,28.7,31,36.2,14.4,4.8,500
Brasen,29.1,31.5,36.4,13.8,4.4,500
Brasen,29.4,32,37.2,15,5.2,600
Brasen,29.4,32,37.2,15.4,5.6,600
Brasen,30.4,33,38.3,14.9,5.3,700
Brasen,30.4,33,38.5,14.9,5.2,700
Brasen,30.9,33.5,38.6,15.6,5.1,610
Brasen,31,33.5,38.7,14.5,5.7,650
Brasen,31.3,34,39.5,15.1,5.6,575
Brasen,31.4,34,39.2,16,5.4,685
Brasen,31.5,34.5,39.7,15.5,5.3,620
Brasen,31.8,35,40.6,15.5,6.1,680
Brasen,31.9,35,40.5,16.2,5.6,700
Brasen,31.8,35,40.9,16.4,6.1,725
Brasen,32,35,40.6,16.4,6.1,720
Brasen,32.7,36,41.5,16.5,5.9,714
Brasen,32.8,36,41.6,16.9,6.2,850
Brasen,33.5,37,42.6,19,6.6,1000
Brasen,35,38.5,44.1,18,6.3,920
Brasen,35,38.5,44,18.1,6.3,955
Brasen,36.2,39.5,45.3,18.8,6.7,925
Brasen,37.4,41,45.9,18.6,6.7,975
Brasen,38,41,46.5,17.6,6.4,950
Rimte,23.6,26,28.7,8.4,4.2,270
Rimte,24.1,26.5,29.3,8.1,4.2,270
Rimte,25.6,28,30.8,8.8,4.7,306
Rimte,28.5,31,34,10.7,6.6,540
Rimte,33.7,36.4,39.6,11.8,6.6,800
Rimte,37.3,40,43.5,12.4,6.5,1000
Rutilus,12.9,14.1,16.2,4.1,2.3,40
Rutilus,16.5,18.2,20.3,5.3,2.8,69
Rutilus,17.5,18.8,21.2,5.6,2.9,78
Rutilus,18.2,19.8,22.2,5.6,3.2,87
Rutilus,18.6,20,22.2,6.2,3.6,120
Rutilus,19.1,20.8,23.1,6.2,3.4,110
Rutilus,19.4,21,23.7,6.1,3.3,120
Rutilus,20.4,22,24.7,5.8,3.8,150
Rutilus,20.5,22,24.3,6.6,3.5,145
Rutilus,20.5,22.5,25.3,7,3.8,160
Rutilus,21,22.5,25,6.5,3.3,140
Rutilus,21.1,22.5,25,6.4,3.8,160
Rutilus,22,24,27.2,7.5,3.8,169
Rutilus,22,23.4,26.7,6.9,3.6,161
