KodningsTid,TestTid
25,11.1
76.1,42
20.9,11.8
11.1,15.4
7.2,3.7
100.4,18.3
72,27.1
114.9,41.7
31.4,13.9
8.3,2.7
6.4,6.2
41.7,15.6
3.4,3.4
100.4,41.9
3.4,2
56,28.8
17.7,7.8
17.8,13.8
58.6,12.7
33.2,13.3
22.8,11.4
4.6,5.4
252.1,43.8
36,17.4
67.7,24.7
198.1,31.4
19.9,7.2
70.7,41.1
39.7,11
9.1,5.7
132.4,38.1
276.2,38.4
154.7,38.2
23.3,11.4
20.1,6.6
45.5,18.2
7.8,3.5
28.2,12.5
62.9,12.7
31.6,16
93.9,18.6
27,19.1
60.8,16.1
20,14.1
7.3,6
382.4,28.3
10.2,4.5
22,9.1
35.7,12.1
8.2,4.2
25.9,10.1
104.5,39.4
7,4.5
2.1,2
27.3,10.9
41.3,11.2
57.6,23
14.8,7.1
36.2,13.9
93.7,17.9
137.7,51.8
62.3,26.3
36.7,9.1
36.1,12.1
46.3,12.2
41.7,15.7
78.5,19.3
87,22.2
37.7,8.4
84.1,18.9
24.2,10.5
23,8.9
168,40
31.4,34.1
40.1,18.2
32.1,12.7
66.9,26.4
551.7,136.8
40.3,18.5
10.9,5.4
146.7,32.9
30.3,11.9
5.5,3.9
5.1,5.3
9.7,6.6
95.8,48.9
7.5,2.6
74.3,18.2
42.7,18.1
386.2,60.1
24.8,12.1
18.1,10.3
74.7,26.7
30.6,9
37.5,18.8
