month,soil,percentage
october,moor,37.00
october,moor,44.50
october,moor,47.25
october,moor,47.50
october,moor,45.75
october,sand,43.75
october,sand,40.50
october,sand,49.75
october,sand,39.00
october,sand,39.50
february,moor,42.00
february,moor,31.00
february,moor,43.25
february,moor,46.75
february,moor,37.25
february,sand,52.00
february,sand,47.00
february,sand,38.75
february,sand,41.00
february,sand,41.50
may,moor,46.75
may,moor,43.50
may,moor,37.50
may,moor,50.50
may,moor,47.50
may,sand,47.50
may,sand,45.00
may,sand,38.50
may,sand,51.25
may,sand,55.00
august,moor,38.00
august,moor,47.50
august,moor,28.25
august,moor,35.50
august,moor,39.75
august,sand,34.25
august,sand,51.25
august,sand,38.25
august,sand,39.50
august,sand,41.50
