"","HeatRate","InletTemp","ExhTemp"
"1",14622,1134,602
"2",13196,950,446
"3",11948,1149,537
"4",11289,1024,478
"5",11964,1149,553
"6",10526,1172,517
"7",10387,1177,510
"8",10592,1146,503
"9",10460,1146,524
"10",10086,1171,525
"11",14628,1038,525
"12",13396,1038,523
"13",11726,1232,571
"14",11252,1077,482
"15",12449,963,485
"16",11030,1135,542
"17",10787,1113,534
"18",10603,1124,541
"19",10144,1204,553
"20",11674,1177,521
"21",11510,1135,526
"22",10946,1149,514
"23",10508,1141,526
"24",10604,1149,544
"25",10270,1177,525
"26",10529,1116,511
"27",10360,1149,537
"28",14796,899,512
"29",12913,916,444
"30",12270,1054,517
"31",11842,1093,513
"32",10656,1121,490
"33",11360,1066,464
"34",11136,1104,487
"35",10814,1121,493
"36",13523,960,517
"37",11289,1079,515
"38",11183,1041,490
"39",10951,1057,479
