    Product_Category       Date Order_Demand
1       Category_006 2012-01-01      1937725
2       Category_006 2012-01-08      1634534
3       Category_006 2012-01-15      1308601
4       Category_006 2012-01-22      1008368
5       Category_006 2012-01-29      1422566
6       Category_006 2012-02-05      2261507
7       Category_006 2012-02-12      1133425
8       Category_006 2012-02-19       999618
9       Category_006 2012-02-26      2366886
10      Category_006 2012-03-04      1561106
11      Category_006 2012-03-11      1366316
12      Category_006 2012-03-18       787024
13      Category_006 2012-03-25      1237146
14      Category_006 2012-04-01      1675824
15      Category_006 2012-04-08      1107213
16      Category_006 2012-04-15      1264628
17      Category_006 2012-04-22      1718522
18      Category_006 2012-04-29       912045
19      Category_006 2012-05-06      1262838
20      Category_006 2012-05-13      1535479
21      Category_006 2012-05-20      1672337
22      Category_006 2012-05-27      1418130
23      Category_006 2012-06-03      1876127
24      Category_006 2012-06-10      1086245
25      Category_006 2012-06-17      1628917
26      Category_006 2012-06-24       727843
27      Category_006 2012-07-01      1093364
28      Category_006 2012-07-08      1673245
29      Category_006 2012-07-15      1037428
30      Category_006 2012-07-22       662778
31      Category_006 2012-07-29      1458092
32      Category_006 2012-08-05      1585331
33      Category_006 2012-08-12       383023
34      Category_006 2012-08-19      1781166
35      Category_006 2012-08-26      1076225
36      Category_006 2012-09-02      1042868
37      Category_006 2012-09-09      1065933
38      Category_006 2012-09-16       801602
39      Category_006 2012-09-23      1224307
40      Category_006 2012-09-30      1287696
41      Category_006 2012-10-07       915554
42      Category_006 2012-10-14      1608873
43      Category_006 2012-10-21       890626
44      Category_006 2012-10-28      1162875
45      Category_006 2012-11-04      1243658
46      Category_006 2012-11-11      1184933
47      Category_006 2012-11-18       976428
48      Category_006 2012-11-25      1074729
49      Category_006 2012-12-02      1496366
50      Category_006 2012-12-09      1547527
51      Category_006 2012-12-16      1229810
52      Category_006 2012-12-23       387043
53      Category_006 2012-12-30       105960
54      Category_006 2013-01-06      2040012
55      Category_006 2013-01-13      1259511
56      Category_006 2013-01-20      1817145
57      Category_006 2013-01-27      1673778
58      Category_006 2013-02-03      1414756
59      Category_006 2013-02-10       642438
60      Category_006 2013-02-17      1393671
61      Category_006 2013-02-24      1164057
62      Category_006 2013-03-03      1965320
63      Category_006 2013-03-10      1465928
64      Category_006 2013-03-17      1481178
65      Category_006 2013-03-24       856947
66      Category_006 2013-03-31      1967026
67      Category_006 2013-04-07      1692845
68      Category_006 2013-04-14      1156922
69      Category_006 2013-04-21      2065942
70      Category_006 2013-04-28       977023
71      Category_006 2013-05-05      1832634
72      Category_006 2013-05-12      1449013
73      Category_006 2013-05-19      2129209
74      Category_006 2013-05-26      1388869
75      Category_006 2013-06-02      1620533
76      Category_006 2013-06-09      1628113
77      Category_006 2013-06-16       890289
78      Category_006 2013-06-23      1775656
79      Category_006 2013-06-30      1414814
80      Category_006 2013-07-07      1748235
81      Category_006 2013-07-14      1431249
82      Category_006 2013-07-21      2013066
83      Category_006 2013-07-28      2222782
84      Category_006 2013-08-04       911677
85      Category_006 2013-08-11       766589
86      Category_006 2013-08-18      1990704
87      Category_006 2013-08-25       985874
